epoch,accuracy,loss,mean_io_u,val_accuracy,val_loss,val_mean_io_u
0,0.8163785934448242,0.4247867166996002,0.4154146611690521,0.8877784609794617,0.24039185047149658,0.4148149788379669
1,0.8305601477622986,0.3084745407104492,0.4154146611690521,0.9026758670806885,0.22474528849124908,0.4148149788379669
2,0.8369770646095276,0.2961658835411072,0.4154146909713745,0.9009184241294861,0.23403297364711761,0.4148149788379669
3,0.8376779556274414,0.29448550939559937,0.4154146611690521,0.9126838445663452,0.20499953627586365,0.4148149788379669
4,0.8556167483329773,0.26355504989624023,0.415517657995224,0.9194270372390747,0.17814810574054718,0.4148149788379669
5,0.9065963625907898,0.17133957147598267,0.4154505133628845,0.9489309191703796,0.1370568424463272,0.4148149788379669
6,0.9204766154289246,0.14020214974880219,0.4157909154891968,0.9440181851387024,0.13886919617652893,0.4150354564189911
7,0.9162256717681885,0.15312573313713074,0.41606929898262024,0.9408323764801025,0.13136549293994904,0.4148229956626892
8,0.9265634417533875,0.12758862972259521,0.4172966182231903,0.9528647065162659,0.10538608580827713,0.4155205190181732
9,0.9319618344306946,0.11453713476657867,0.41649129986763,0.9385627508163452,0.14600154757499695,0.4163223206996918
10,0.9330241084098816,0.11110951751470566,0.4179992377758026,0.962306022644043,0.0886567160487175,0.4148149788379669
11,0.9383479356765747,0.09746536612510681,0.42054176330566406,0.9629911780357361,0.08908301591873169,0.4148149788379669
12,0.9414567947387695,0.08952787518501282,0.4228735566139221,0.961331844329834,0.0910138413310051,0.41495928168296814
13,0.9414815306663513,0.08900197595357895,0.426227867603302,0.965423583984375,0.08420497924089432,0.4318627119064331
14,0.9442321062088013,0.08150052279233932,0.4344266355037689,0.9666562676429749,0.07872171700000763,0.4263208210468292
15,0.9446215629577637,0.08184550702571869,0.43362224102020264,0.9653056859970093,0.08382075279951096,0.4522121250629425
16,0.9485523104667664,0.070527583360672,0.4433220326900482,0.9702836871147156,0.06829369068145752,0.41980069875717163
17,0.9423555135726929,0.08692566305398941,0.43587392568588257,0.9684568047523499,0.07344430685043335,0.42023783922195435
18,0.9490063786506653,0.06892213225364685,0.45630013942718506,0.9700126051902771,0.07288461178541183,0.4682394564151764
19,0.9510891437530518,0.06317608803510666,0.46537038683891296,0.9709340929985046,0.07715508341789246,0.5500392913818359
20,0.9524748921394348,0.059377271682024,0.4757154881954193,0.9721009731292725,0.06831751018762589,0.4594118297100067
21,0.9516221284866333,0.06149544194340706,0.4732693135738373,0.9633280634880066,0.0835660845041275,0.41745492815971375
22,0.9507721662521362,0.06370087713003159,0.46057456731796265,0.9690946936607361,0.08014469593763351,0.5261211395263672
23,0.9537592530250549,0.05476688593626022,0.49335354566574097,0.9696475863456726,0.07763239741325378,0.4721783995628357
24,0.9537307620048523,0.05462927371263504,0.505452573299408,0.9727801084518433,0.06715570390224457,0.4297054708003998
25,0.9536474347114563,0.05482088401913643,0.5087202191352844,0.9738494157791138,0.06438987702131271,0.4654444754123688
26,0.9551985859870911,0.05050245299935341,0.5301020741462708,0.974362850189209,0.06861832737922668,0.5770300626754761
27,0.9526877999305725,0.05788913369178772,0.5004484057426453,0.9700616598129272,0.0735340490937233,0.4389950931072235
28,0.9548723697662354,0.051129359751939774,0.5085950493812561,0.973689079284668,0.07369134575128555,0.46984994411468506
29,0.9541168808937073,0.05346149578690529,0.5106651782989502,0.9688230156898499,0.07407105714082718,0.5363062620162964
30,0.9561914801597595,0.046547919511795044,0.5517973303794861,0.9737536907196045,0.06859839707612991,0.5676146745681763
31,0.9570657014846802,0.043735288083553314,0.5701632499694824,0.9704530239105225,0.07127676159143448,0.5175119638442993
32,0.9575442671775818,0.04166004806756973,0.5791280269622803,0.9712063670158386,0.07953184098005295,0.6441060900688171
33,0.9576588869094849,0.04079844057559967,0.5885124206542969,0.9754435420036316,0.06154301017522812,0.5863416194915771
34,0.9449506998062134,0.08170653879642487,0.4488481283187866,0.9696428179740906,0.07399947196245193,0.4225880801677704
35,0.954809308052063,0.05114065855741501,0.4881162941455841,0.9730679392814636,0.06658869981765747,0.4669736623764038
36,0.957121729850769,0.04290780425071716,0.5236225724220276,0.97418212890625,0.06732574105262756,0.5687867403030396
37,0.9579800963401794,0.03952949494123459,0.5720455050468445,0.9761101007461548,0.06488839536905289,0.5838552713394165
38,0.9582992196083069,0.038176488131284714,0.573160707950592,0.9758869409561157,0.0629652664065361,0.5375951528549194
39,0.9587883353233337,0.036247070878744125,0.6108911037445068,0.9755147099494934,0.07149939984083176,0.6624641418457031
40,0.9588155150413513,0.03607109189033508,0.6148844361305237,0.9759120345115662,0.06399670988321304,0.6044372916221619
41,0.9590969681739807,0.03497224673628807,0.6249732971191406,0.975161075592041,0.07087968289852142,0.5458323359489441
42,0.9569006562232971,0.042582131922245026,0.5667654275894165,0.969841480255127,0.07076267898082733,0.41995710134506226
43,0.9496027827262878,0.06858913600444794,0.46793699264526367,0.9734616875648499,0.06499367952346802,0.47709518671035767
44,0.92568039894104,0.1322403997182846,0.42980724573135376,0.9566644430160522,0.10398630797863007,0.4148149788379669
45,0.9316584467887878,0.11925222724676132,0.4221575856208801,0.951622486114502,0.1093921884894371,0.43129879236221313
46,0.9347059726715088,0.10806246846914291,0.42098307609558105,0.9578636288642883,0.10044948011636734,0.4148149788379669
